old word,new word
ボディーバッグ,Crossbody Bag
ボディバッグ,Crossbody Bag
リュックサック,Backpack
リュック,Backpack
ナップサック,Backpack
その他バッグ,
ウエストバッグ,Waist Bag
キャリーバッグ,Suitcase
デイパック,
別注,Special Order
パイソン,ヘビ
使用感有,
無地,
その他ブランド,
総柄,
●,
○,
◎,
★,
☆,
■,
□,
◆,
◇,
▼,
！,
中古,
中古品,
品,
極美品,
美品,
即決,
価格,
無料,
送料,
!,
?,
円,
＠,
・,
♪,
即決,
発送,
レア,
激,
超,
当時,
物,
付き,
付,
交渉,
値段,
開封,
未,
〓,
周年,
周年記念,
未,
使用,
最終,
／,
未組立,
《,
》,
年,
絶版,
廃版,
製,
同梱,
可,
不,
「,
」,
種,
珍,
昔,
ありません,
です,
。,
、,
＊,
：,
\,
#,
|,
あり,
代,
超,
Laravel,
レディース,
国内在庫,
良,
美,
匿名配送,
値下げ,
角スレ有り,
角スレ有,
角スレ,
角擦れ有り,
角擦れ有,
角擦れ,
地感有り,
地感有,
感有り,
感有,
シミ有り,
シミ有,
背面擦れ有り,
背面擦れ有,
背面擦れ,
背面スレ有り,
背面スレ有,
背面スレ,
本保証,
保証,
極,
⭐,
♥,
↘,
♡,
✨,
人気,
お値下げ,
お値下,
値下,
値引きしました,
正規,
ブランド,
週末限定,
週末,
",",
SALE,
sale,
Sale,
セール,
❗,
保存袋,
期間限定,
日本発売,
売り切り,
❣️,
化学繊維,
‼️,
USED,
used,
Used,
入手困難,Rare
※,
⁉️,
相談歓迎,
相談,
斜めがけ,
まもなく終了,
処分,
格安,
マザーズバック,
大幅️,
❤,
男女兼用,Unisex
*,
斜め掛け,
斜めかけ,
ボストンバッグ,Club bag
総柄,
無地,
ハラコ,Leather
リュック,Backpack
